m,train_s,predict_s,total_s,rel_err
100,15.895954132080078,3.1611454486846924,19.05709958076477,0.33098739333093663
207,29.714353322982788,6.44709849357605,36.16145181655884,0.30379755359407545
100,16.186904191970825,3.917786121368408,20.104690313339233,0.32441489640692067
207,33.18869185447693,6.684674978256226,39.873366832733154,0.296971355221475
100,18.653541564941406,3.6588940620422363,22.312435626983643,0.3200392779796126
207,32.585070848464966,6.003354787826538,38.588425636291504,0.3003733517105117
100,13.697688102722168,2.721346616744995,16.419034719467163,0.32203059220210717
207,33.4616584777832,5.492153882980347,38.95381236076355,0.29927196628813413
428,86.85756421089172,11.208790302276611,98.06635451316833,0.27543760996337696
887,115.00509715080261,22.869287252426147,137.87438440322876,0.2562506470325798
1838,269.7091131210327,47.75300860404968,317.4621217250824,0.23909041419809318
100,13.813932180404663,2.767817258834839,16.581749439239502,0.33113857683411374
138,20.373080015182495,3.7665812969207764,24.13966131210327,0.31074446994008875
192,29.890522003173828,5.097362518310547,34.987884521484375,0.30093634545906744
266,45.519813537597656,7.076952219009399,52.596765756607056,0.29000112749560203
370,72.01331925392151,9.691035509109497,81.704354763031,0.27901481548421225
513,71.07379364967346,13.651542901992798,84.72533655166626,0.2692833401618996
711,91.72210431098938,18.5284526348114,110.25055694580078,0.25931236775382616
987,129.43859958648682,25.5386905670166,154.97729015350342,0.2539463749859926
1369,188.14528441429138,35.70092439651489,223.84620881080627,0.24688036854716722
1898,294.0449187755585,48.66143441200256,342.70635318756104,0.23787398941619842
