m,train_s,predict_s,total_s,rel_err
100,5.909668207168579,0.0780644416809082,5.987732648849487,0.3254072890622297
180,4.9359214305877686,0.09471797943115234,5.030639410018921,0.3035975363282065
100,5.119604110717773,0.07212066650390625,5.19172477722168,0.3148623115305429
212,3.5239319801330566,0.07608795166015625,3.600019931793213,0.29871681710672693
453,5.464010000228882,0.09848952293395996,5.562499523162842,0.2712961205754787
965,9.671905279159546,0.13672518730163574,9.808630466461182,0.2516097990532
2055,21.126553535461426,0.2354583740234375,21.362011909484863,0.23553005206449062
100,5.176021575927734,0.06712770462036133,5.243149280548096,0.3257934668262711
212,3.702192544937134,0.07702016830444336,3.779212713241577,0.29658632681450836
453,6.291093111038208,0.09812045097351074,6.389213562011719,0.2740163108378064
965,10.766401767730713,0.14172053337097168,10.908122301101685,0.2551867678485161
2055,19.694347620010376,1.4132297039031982,21.107577323913574,0.23697225952986545
4377,53.19748139381409,0.4112358093261719,53.60871720314026,0.22264616762420497
9321,108.28979301452637,0.8591208457946777,109.14891386032104,0.21327728141982416
19849,181.3539741039276,1.7634894847869873,183.1174635887146,0.20871908158755514
42266,420.5073845386505,3.765354871749878,424.2727394104004,0.2039675505477867
