m,train_s,predict_s,total_s,rel_err
100,7.750195741653442,0.015375852584838867,7.765571594238281,0.31102433460769585
100,7.713401794433594,0.015468597412109375,7.728870391845703,0.3051606397503541
112,5.510338544845581,0.016559600830078125,5.526898145675659,0.29754581674517944
127,6.233169317245483,0.019137144088745117,6.2523064613342285,0.3032142220310723
143,8.592950344085693,0.02708578109741211,8.620036125183105,0.29728808241266547
162,9.519011497497559,0.03058624267578125,9.54959774017334,0.28950737161891693
183,10.581173419952393,0.03435063362121582,10.615524053573608,0.2846992357941537
206,12.980303525924683,0.043628692626953125,13.023932218551636,0.2801487993013163
233,14.76021933555603,0.05091381072998047,14.81113314628601,0.2786387289170331
263,19.012760877609253,0.06485271453857422,19.077613592147827,0.27697796099952443
297,22.379660844802856,0.07718920707702637,22.456850051879883,0.2768296835069797
335,25.664968967437744,0.09114861488342285,25.756117582321167,0.2741532285157713
379,28.78181290626526,0.10381650924682617,28.885629415512085,0.272421104398765
428,35.51861238479614,0.13074755668640137,35.649359941482544,0.26769359492933076
483,42.0421462059021,0.15599989891052246,42.19814610481262,0.2682520743173693
545,50.97606039047241,0.1899092197418213,51.16596961021423,0.26463506351541777
615,58.04611086845398,0.21666312217712402,58.2627739906311,0.26311493796210716
695,69.99513339996338,0.26461076736450195,70.25974416732788,0.2606515915532539
784,86.32436943054199,0.3281266689300537,86.65249609947205,0.2593049239157711
885,100.84970736503601,0.385819673538208,101.23552703857422,0.25787560988900227
1000,124.4030909538269,0.48175907135009766,124.884850025177,0.2564406907680118
