m,train_s,predict_s,total_s,rel_err
100,0.4543323516845703,0.027131080627441406,0.4814634323120117,0.3240702007103735
166,0.8589751720428467,0.04843473434448242,0.9074099063873291,0.31728031747768903
278,1.673116683959961,0.08179163932800293,1.7549083232879639,0.3020846783438782
464,2.9314513206481934,0.13344287872314453,3.064894199371338,0.2991435852857086
774,3.56858229637146,0.24711394309997559,3.8156962394714355,0.2934198004112353
1291,5.945310115814209,0.37238621711730957,6.3176963329315186,0.2949964627722682
2154,10.255309104919434,0.5792446136474609,10.834553718566895,0.2911383325245269
3593,14.863882541656494,0.9683971405029297,15.832279682159424,0.2896602209361321
5994,31.2639741897583,1.487854242324829,32.75182843208313,0.2897301714845445
10000,57.59949493408203,2.398949146270752,59.99844408035278,0.28708299073064736
