m,train_s,predict_s,total_s,rel_err
100,0.442115545272827,0.00616145133972168,2.448276996612549,0.310396537863446
132,1.111628532409668,0.0071239471435546875,1.1187524795532227,0.30695418571266964
174,1.1720304489135742,0.009517669677734375,1.1815481185913086,0.30922859447657514
230,1.2836430072784424,0.014449357986450195,0.2980923652648926,0.29599497735919633
305,1.3360598087310791,0.01779627799987793,0.35385608673095703,0.29126510160241614
403,1.462169885635376,0.02662825584411621,0.4887981414794922,0.28322142531542815
532,1.5085556507110596,0.03261542320251465,0.5411710739135742,0.2760698541711766
704,1.5986707210540771,0.0057642459869384766,0.6044349670410156,0.27164089346254294
930,1.6773984432220459,0.012015342712402344,0.6894137859344482,0.2675185278029645
1230,1.8717429637908936,0.013497591018676758,0.8852405548095703,0.2610140567622491
1625,1.1609408855438232,0.015427350997924805,1.176368236541748,0.25766045122567216
2148,1.5304675102233887,0.013172149658203125,1.5436396598815918,0.2529569904731185
2839,2.137183904647827,0.021295785903930664,2.158479690551758,0.25143259522921524
3753,3.0373690128326416,0.021001100540161133,3.0583701133728027,0.24952274992363999
4960,4.46005916595459,0.03159070014953613,4.491649866104126,0.2497889099662256
6555,8.117079973220825,0.0345919132232666,8.151671886444092,0.25134966021594574
8663,11.761837482452393,0.049602508544921875,11.811439990997314,0.25190865530538487
11450,13.589922428131104,0.05834841728210449,13.648270845413208,0.2531885505101681
15132,20.991515636444092,0.08159923553466797,21.07311487197876,0.25829185632669704
20000,34.56917405128479,0.09992098808288574,34.669095039367676,0.25603522096563536
