m,train_s,predict_s,total_s,rel_err
100,0.19327068328857422,0.0258486270904541,0.21911931037902832,0.33292184088568677
166,0.2434229850769043,0.04639029502868652,0.2898132801055908,0.3090665692637202
278,0.4887077808380127,0.11906218528747559,0.6077699661254883,0.29301745377797683
464,0.9609279632568359,0.17499303817749023,1.1359210014343262,0.2754220715176634
774,1.0479249954223633,0.2520418167114258,1.299966812133789,0.2660127268849882
1291,1.8708362579345703,0.3618600368499756,2.232696294784546,0.25961302329395464
2154,3.214736223220825,0.5504987239837646,3.76523494720459,0.24885449784855984
3593,6.446663856506348,0.89862060546875,7.345284461975098,0.24395917976518777
5994,14.049962997436523,1.4585907459259033,15.508553743362427,0.248404814245631
10000,25.340961456298828,2.3491427898406982,27.690104246139526,0.2515769202018361
